,Ticker,Name,Revenue,Insolvency Date
0,ESLK,EASTERN SILK INDUSTRIES LTD.,189.198,01-02-2024
1,MANB,MANPASAND BEVERAGES LTD.,408.292,01-03-2021
2,SUBX,SUBEX LTD.,3097.2,01-04-2022
3,TITAGARH,TITAGARH RAIL SYSTEM LTD.,38053.059,01-11-2022
4,TEIN,TECHINDIA NIRMAN LTD.,0.0,02-01-2025
5,IMPX,IMPEX FERRO TECH LTD.,275.021,02-05-2024
6,SUULD,SUUMAYA INDUSTRIES LTD.,6634.8,02-08-2024
7,MIDL,MEP INFRASTRUCTURE DEVELOPERS.,2445.57,02-10-2024
8,ARTEDZ,ARTEDZ FABS LTD.,814.069797,02-11-2021
9,CPGI,COMPUAGE INFOCOM LTD.,37394.428,02-11-2023
10,BLB,BLUE BLENDS INDIA LTD.,95.338494,02-12-2021
11,OPTC,OPTO CIRCUITS INDIA LTD.,2.464,02-12-2022
12,PRAXIS,PRAXIS HOME RETAIL LTD.,2195.776,03-08-2023
13,LKEF,LAKSHMI ENERGY & FOODS LTD.,6102.29,03-09-2019
14,VACL,VAXTEX COTFAB LTD.,184.663,04-01-2024
15,FLFL,FUTURE LIFESTYLE FASHIONS LTD.,29553.0,04-05-2023
16,ISLR,INDOSOLAR LTD.,0.0,04-07-2019
17,SANWCL,SANWARIA CONSUMER LTD.,0.0,04-08-2021
18,KUNDANMM,KUNDAN MINERALS & METALS LTD.,0.111,04-10-2023
19,VCLF,VIDEOCON INDUSTRIES LTD.,6512.239,05-01-2022
20,FSCSL,FUTURE SUPPLY CHAIN SOLUTIONS.,6087.561,05-01-2023
21,SPML,SPML INFRA LTD.,12304.229,05-03-2021
22,AIFL,ASHAPURA INTIMATES FASHION LTD.,3112.183,05-10-2020
23,UEL,UJAAS ENERGY LTD.,264.035,06-01-2023
24,SELM,SEL MANUFACTURING CO LTD.,3516.022,06-05-2019
25,GDJ,GOENKA DIAMOND & JEWELS LTD.,6.446,06-05-2023
26,JPA,JAIPRAKASH ASSOCIATES LTD.,64724.4,06-06-2024
27,KSLD,KSS LTD.,0.0,06-09-2022
28,SJET,SPICEJET LTD.,67789.63,06-12-2021
29,BESL,BIL ENERGY SYSTEMS LTD.,0.0,06-12-2023
30,CKFSL,COX & KINGS FINANCIAL SERVICE.,0.0,07-05-2021
31,GTO,GOLDEN TOBACCO LTD.,417.946,07-06-2022
32,VLCE,VALECHA ENGINEERING LTD.,705.6,07-11-2022
33,MACH,MCDOWELL HOLDINGS LTD.,3.533,08-04-2022
34,CCD,COFFEE DAY ENTERPRISES LTD.,10132.5,08-08-2024
35,JPIN,JAYPEE INFRATECH LTD.,9519.9,08-09-2017
36,SABTNL,SRI ADHIKARI BROTHERS TELEVISI.,27.6,08-12-2023
37,NFPI,NITIN FIRE PROTECTION INDUSTRI.,68.925,09-02-2022
38,SUMT,SUMEET INDUSTRIES LTD.,9848.57,09-02-2024
39,RLTA,ROLTA INDIA LTD.,0.0,09-05-2023
40,SINF,SIMPLEX INFRASTRUCTURES LTD.,13650.6,09-08-2019
41,SICALLOG,SICAL LOGISTICS LTD.,2210.9,10-03-2021
42,HMT,HMT LTD.,1633.868,10-03-2022
43,ASMS,BARTRONICS INDIA LTD.,488.38,10-03-2022
44,FRETAIL,FUTURE RETAIL LTD.,63039.4,10-11-2023
45,TALW,TALWALKARS BETTER VALUE FITNES.,992.35,11-01-2021
46,SHRPL,SHREE RAM PROTEINS LTD.,1575.375,11-01-2023
47,ESL,ESSAR SHIPPING LTD.,202.3,11-03-2021
48,SIMS,SIMBHAOLI SUGARS LTD.,11804.78,11-07-2024
49,EURO,EURO MULTIVISION LTD.,0.01,11-11-2022
50,LASA,LASA SUPERGENERICS LTD.,1043.35,12-01-2022
51,VHLTD,VICEROY HOTELS LTD.,1309.744,12-03-2018
52,ZLL,ZEE LEARN LTD.,3562.665,12-04-2022
53,VPUL,VIPUL LTD.,2064.863,12-07-2021
54,NTI,NAKODA LTD.,0.0,12-07-2021
55,JEPL,JIYA ECO-PRODUCTS LTD.,0.0,12-12-2023
56,SEJAL,SEJAL GLASS LTD.,1637.993,13-02-2019
57,AVROIND,AVRO INDIA LTD.,933.689,13-06-2022
58,GAYP,GAYATRI PROJECTS LTD.,31023.368,13-06-2023
59,APIL,ANSAL PROPERTIES & INFRASTRUCT.,5240.971,13-06-2024
60,CCRI,CONTAINER CORP OF INDIA LTD.,79695.1,13-07-2023
61,FEDDERE,FEDDERS ELECTRIC AND ENGINEERI.,1145.4,14-08-2019
62,INSW,IND-SWIFT LTD.,4925.293,14-09-2023
63,ALPI,ALPS INDUSTRIES LTD.,19.093,14-09-2024
64,NEUTL,NEUEON TOWERS LTD.,0.0,14-10-2021
65,GVKP,GVK POWER & INFRASTRUCTURE LTD.,10801.4,15-07-2024
66,SEYA,SEYA INDUSTRIES LTD.,80.584,15-11-2023
67,TALWGYM,TALWALKARS HEALTHCLUBS LTD.,2814.46,16-03-2021
68,HCLT,HCL TECHNOLOGIES LTD.,1098271.149,17-01-2022
69,KASH,BL KASHYAP & SONS LTD.,11960.137,17-03-2022
70,HNGI,HINDUSTHAN NATIONAL GLASS & IN.,25495.986,18-01-2022
71,ARSS,ARSS INFRASTRUCTURE PROJECTS L.,3208.718,18-04-2023
72,AURFI,ICSA INDIA LTD.,0.0,18-08-2020
73,RCAPT,RELIANCE CAPITAL LTD.,244436.7,18-10-2022
74,TECE,TECHNOFAB ENGINEERING LTD.,1129.432,18-11-2022
75,MCNA,MCNALLY BHARAT ENGINEERING CO.,1681.126,19-12-2023
76,IMP,IMP POWERS LTD.,15.482,19-12-2023
77,GBGLOBAL,GB GLOBAL LTD.,2192.993,20-05-2021
78,JETIN,JET AIRWAYS INDIA LTD.,497.2,20-06-2019
79,HDIL,HOUSING DEVELOPMENT & INFRASTR.,20.459,20-08-2019
80,CCON,C&C CONSTRUCTIONS LTD.,10782.423,20-11-2023
81,OSCL,OMKAR SPECIALITY CHEMICALS LTD.,229.825,20-12-2022
82,ANMP,ANKIT METAL & POWER LTD.,8539.917,20-12-2023
83,MRLN,MERCATOR LTD.,0.0,21-02-2023
84,DQE,DQ ENTERTAINMENT INTERNATIONAL.,6.054,21-12-2023
85,Z,ZEE ENTERTAINMENT ENTERPRISES.,86322.0,22-02-2023
86,INDOWIND,INDOWIND ENERGY LTD.,397.058,22-03-2022
87,CCCL,CONSOLIDATED CONSTRUCTION CONS.,1308.235,22-04-2021
88,PREM,PREMIER LTD.,0.0,22-06-2021
89,WSY,WINSOME YARNS LTD.,309.337,22-12-2023
90,SKSTEX,SKS TEXTILES LTD.,1568.814,22-12-2023
91,SPTI,CLC INDUSTRIED LTD.,0.0,23-03-2021
92,ARSL,ARSHIYA LTD.,1544.071,23-04-2024
93,VWSP,VIKAS WSP LTD.,0.0,23-06-2023
94,DSK,DS KULKARNI DEVELOPERS LTD.,0.0,23-06-2023
95,NGE,JAYASWAL NECO INDUSTRIES LTD.,59335.508,23-08-2021
96,MCLR,MCLEOD RUSSEL INDIA LTD.,11358.868,23-08-2021
97,TULS,TULSI EXTRUSIONS LTD.,551.85,23-08-2021
98,UNIP,UNIPLY INDUSTRIES LTD.,3014.927868,23-08-2023
99,AMBEY,AMBEY LABORATORIES LTD.,1048.212,23-11-2021
100,RNAVAL,SWAN DEFENCE AND HEAVY INDUSTR.,0.0,23-12-2022
101,BKMINDST,BKM INDUSTRIES LTD.,9.2534,24-03-2021
102,CMMI,CMM INFRAPROJECTS LTD.,559.8124099,24-05-2023
103,ATRI,SHIRPUR GOLD REFINERY LTD.,27662.684,24-06-2024
104,DIACABS,DIAMOND POWER INFRASTRUCTURE L.,3433.71,24-08-2018
105,KARG,KARUTURI GLOBAL LTD.,2305.007,25-01-2021
106,BILT,BALLARPUR INDUSTRIES LTD.,3.8,25-01-2022
107,JBF,JBF INDUSTRIES LTD.,19.4,25-01-2024
108,RMCL,RADHA MADHAV CORP LTD.,0.0,25-03-2021
109,VIL,ED & TECH INTERNATIONAL LTD.,0.0,25-05-2023
110,SITINET,SITI NETWORKS LTD.,12910.91,25-08-2023
111,ILFS,IL&FS INVESTMENT MANAGERS LTD.,519.239,25-09-2018
112,JNS,JAIN STUDIOS LTD.,31.57,26-02-2020
113,ACL,ANDHRA CEMENTS LTD.,2681.1,26-04-2022
114,RAJV,RAJVIR INDUSTRIES LTD.,339.396,26-05-2021
115,ABINFRA,AB INFRABUILD LTD.,1838.1,26-08-2021
116,ZSS,ZICOM ELECTRONIC SECURITY SYST.,660.0,27-05-2023
117,PUNJ,PUNJ LLOYD LTD.,50803.7,27-06-2022
118,NAGARFER,NAGARJUNA FERTILIZERS & CHEMIC.,47653.86,27-08-2021
119,ORTEL,ORTEL COMMUNICATIONS LTD.,679.707,27-11-2018
120,FEL,FUTURE ENTERPRISES LTD.,21933.7,27-12-2023
121,OIL,OIL COUNTRY TUBULAR LTD.,182.394,28-01-2020
122,RNSP,SHREE RAMA NEWSPRINT LTD.,470.368,28-03-2022
123,CMI,CMI LTD/INDIA.,290.804,28-07-2023
124,SETU,SETUBANDHAN INFRASTRUCTURE LTD.,906.678,28-11-2022
125,GNTX,GANGOTRI TEXTILES LTD.,0.0,28-11-2024
126,DSC,DHARANI SUGARS & CHEMICALS LTD.,0.0,29-06-2023
127,EDSL,EDUCOMP SOLUTIONS LTD.,41.394,30-05-2017
128,VPROP,VIKAS PROPPANT & GRANITE LTD.,235.985,30-08-2022
